date,amount
2020-12-26,10972.0
2020-12-27,10972.0
2020-12-28,10972.0
2020-12-29,10972.0
2020-12-30,10972.0
2021-01-02,10972.0
2021-01-03,10972.0
2021-01-04,10972.0
2021-01-05,10972.0
2021-01-07,10972.0
2021-01-08,10972.0
2021-01-10,10972.0
2021-01-11,10972.0
2021-01-12,10972.0
2021-01-13,10972.0
2021-01-14,10972.0
2021-01-15,11203.0
2021-01-16,11203.0
2021-01-17,11203.0
2021-01-19,11203.0
2021-01-20,11203.0
2021-01-21,11203.0
2021-01-24,11203.0
2021-01-25,11203.0
2021-01-26,11203.0
2021-01-27,11203.0
2021-01-28,11203.0
2021-01-29,11203.0
2021-01-31,11203.0
2021-02-01,11203.0
2021-02-02,11203.0
2021-02-03,11203.0
2021-02-04,11203.0
2021-02-05,11203.0
2021-02-07,11203.0
2021-02-08,11203.0
2021-02-09,11203.0
2021-02-12,11203.0
2021-02-13,11203.0
2021-02-14,11203.0
2021-02-16,11203.0
2021-02-17,11435.0
2021-02-18,11435.0
2021-02-19,11435.0
2021-02-21,11435.0
2021-02-22,11435.0
2021-02-23,11435.0
2021-02-24,11435.0
2021-02-26,11435.0
2021-02-28,11435.0
2021-03-01,11435.0
2021-03-02,11435.0
2021-03-03,11435.0
2021-03-08,11435.0
2021-03-09,11435.0
2021-03-11,11435.0
2021-03-12,11435.0
2021-03-13,11435.0
2021-03-14,11435.0
2021-03-15,11435.0
2021-03-16,11435.0
2021-03-17,11435.0
2021-03-18,11435.0
2021-03-19,11435.0
2021-03-22,11435.0
2021-03-25,11435.0
2021-03-26,11435.0
2021-03-28,11435.0
2021-03-29,11435.0
2021-03-30,11435.0
2021-03-31,11435.0
2021-04-01,11435.0
2021-04-02,11435.0
2021-04-05,11435.0
2021-04-06,11435.0
2021-04-07,11435.0
2021-04-09,11435.0
2021-04-11,11435.0
2021-04-12,11435.0
2021-04-13,11435.0
2021-04-14,11435.0
2021-04-15,11435.0
2021-04-16,11435.0
2021-04-19,11637.0
2021-04-20,11637.0
2021-04-21,11637.0
2021-04-25,11637.0
2021-04-26,11637.0
2021-04-27,11637.0
2021-04-28,11637.0
2021-04-29,11637.0
2021-04-30,11637.0
2021-05-03,11637.0
2021-05-04,11637.0
2021-05-05,11637.0
2021-05-06,11637.0
2021-05-07,11637.0
2021-05-10,11637.0
2021-05-11,11637.0
2021-05-12,11637.0
2021-05-13,11637.0
2021-05-15,11637.0
2021-05-16,11637.0
2021-05-17,11637.0
2021-05-18,11872.0
2021-05-19,11872.0
2021-05-20,11872.0
2021-05-21,11872.0
2021-05-22,11872.0
2021-05-23,11872.0
2021-05-24,11872.0
2021-05-25,11872.0
2021-05-26,11872.0
2021-05-27,11872.0
2021-05-28,11872.0
2021-05-29,11872.0
2021-05-30,11872.0
2021-06-01,11872.0
2021-06-02,11872.0
2021-06-03,11872.0
2021-06-05,11872.0
2021-06-07,11872.0
2021-06-08,11872.0
2021-06-09,11872.0
2021-06-10,11872.0
2021-06-12,11872.0
2021-06-13,11872.0
2021-06-14,11872.0
